Date,V1,,,,
2016-11-04,,,,,
2016-11-07,,,,,
2016-11-08,,,,,
2016-11-09,,,,,
2016-11-10,,,,,
2016-11-11,,,,,
2016-11-14,,,,,
2016-11-15,,,,,
2016-11-16,,,,,
2016-11-17,,,,,
2016-11-18,,,,,
2016-11-21,,,,,
2016-11-22,,,,,
2016-11-23,,,,,
2016-11-24,,,,,
2016-11-25,,,,,
2016-11-28,,,,,
2016-11-29,,,,,
2016-11-30,,,,,
2016-12-01,,,,,
2016-12-02,,,,,
2016-12-05,,,,,
2016-12-06,,,,,
2016-12-07,,,,,
2016-12-08,,,,,
2016-12-09,,,,,
2016-12-12,,,,,
2016-12-13,,,,,
2016-12-14,,,,,
2016-12-15,,,,,
2016-12-16,,,,,
2016-12-19,,,,,
2016-12-20,,,,,
2016-12-21,,,,,
2016-12-22,,,,,
2016-12-23,,,,,
2016-12-26,,,,,
2016-12-27,,,,,
2016-12-28,,,,,
2016-12-29,,,,,
2016-12-30,,,,,
2017-01-03,,,,,
2017-01-04,,,,,
2017-01-05,,,,,
2017-01-06,,,,,
2017-01-09,,,,,
2017-01-10,,,,,
2017-01-11,,,,,
2017-01-12,,,,,
2017-01-13,,,,,
2017-01-16,,,,,
2017-01-17,,,,,
2017-01-18,,,,,
2017-01-19,,,,,
2017-01-20,,,,,
2017-01-23,,,,,
2017-01-24,,,,,
2017-01-25,,,,,
2017-01-26,,,,,
2017-02-03,,,,,
2017-02-06,,,,,
2017-02-07,,,,,
2017-02-08,,,,,
2017-02-09,,,,,
2017-02-10,,,,,
2017-02-13,,,,,
2017-02-14,,,,,
2017-02-15,,,,,
2017-02-16,,,,,
2017-02-17,,,,,
2017-02-20,,,,,
2017-02-21,,,,,
2017-02-22,,,,,
2017-02-23,,,,,
2017-02-24,,,,,
2017-02-27,,,,,
2017-02-28,,,,,
2017-03-01,,,,,
2017-03-02,,,,,
2017-03-03,,,,,
2017-03-06,,,,,
2017-03-07,,,,,
2017-03-08,,,,,
2017-03-09,,,,,
2017-03-10,,,,,
2017-03-13,,,,,
2017-03-14,,,,,
2017-03-15,,,,,
2017-03-16,,,,,
2017-03-17,,,,,
2017-03-20,,,,,
2017-03-21,,,,,
2017-03-22,,,,,
2017-03-23,,,,,
2017-03-24,,,,,
2017-03-27,,,,,
2017-03-28,,,,,
2017-03-29,,,,,
2017-03-30,,,,,
2017-03-31,,,,,
2017-04-05,,,,,
2017-04-06,,,,,
2017-04-07,,,,,
2017-04-10,,,,,
2017-04-11,,,,,
2017-04-12,,,,,
2017-04-13,,,,,
2017-04-14,,,,,
2017-04-17,,,,,
2017-04-18,,,,,
2017-04-19,,,,,
2017-04-20,,,,,
2017-04-21,,,,,
2017-04-24,,,,,
2017-04-25,,,,,
2017-04-26,,,,,
2017-04-27,,,,,
2017-04-28,,,,,
2017-05-02,,,,,
2017-05-03,,,,,
2017-05-04,,,,,
2017-05-05,,,,,
2017-05-08,,,,,
2017-05-09,,,,,
2017-05-10,,,,,
2017-05-11,,,,,
2017-05-12,,,,,
2017-05-15,,,,,
2017-05-16,,,,,
2017-05-17,,,,,
2017-05-18,,,,,
2017-05-19,,,,,
2017-05-22,,,,,
2017-05-23,,,,,
2017-05-24,,,,,
2017-05-25,,,,,
2017-05-26,,,,,
2017-05-31,,,,,
2017-06-01,,,,,
2017-06-02,,,,,
2017-06-05,,,,,
2017-06-06,,,,,
2017-06-07,,,,,
2017-06-08,,,,,
2017-06-09,,,,,
2017-06-12,,,,,
2017-06-13,,,,,
2017-06-14,,,,,
2017-06-15,,,,,
2017-06-16,,,,,
2017-06-19,,,,,
2017-06-20,,,,,
2017-06-21,,,,,
2017-06-22,,,,,
2017-06-23,,,,,
2017-06-26,,,,,
2017-06-27,,,,,
2017-06-28,,,,,
2017-06-29,,,,,
2017-06-30,,,,,
2017-07-03,,,,,
2017-07-04,,,,,
2017-07-05,,,,,
2017-07-06,,,,,
2017-07-07,,,,,
2017-07-10,,,,,
2017-07-11,,,,,
2017-07-12,,,,,
2017-07-13,,,,,
2017-07-14,,,,,
2017-07-17,,,,,
2017-07-18,,,,,
2017-07-19,,,,,
2017-07-20,,,,,
2017-07-21,,,,,
2017-07-24,,,,,
2017-07-25,,,,,
2017-07-26,,,,,
2017-07-27,,,,,
2017-07-28,,,,,
2017-07-31,,,,,
2017-08-01,,,,,
2017-08-02,,,,,
2017-08-03,,,,,
2017-08-04,,,,,
2017-08-07,,,,,
2017-08-08,,,,,
2017-08-09,,,,,
2017-08-10,,,,,
2017-08-11,,,,,
2017-08-14,,,,,
2017-08-15,,,,,
2017-08-16,,,,,
2017-08-17,,,,,
2017-08-18,,,,,
2017-08-21,,,,,
2017-08-22,,,,,
2017-08-23,,,,,
2017-08-24,,,,,
2017-08-25,,,,,
2017-08-28,,,,,
2017-08-29,,,,,
2017-08-30,,,,,
2017-08-31,,,,,
2017-09-01,,,,,
2017-09-04,,,,,
2017-09-05,,,,,
2017-09-06,,,,,
2017-09-07,,,,,
2017-09-08,,,,,
2017-09-11,,,,,
2017-09-12,,,,,
2017-09-13,,,,,
2017-09-14,,,,,
2017-09-15,,,,,
2017-09-18,,,,,
2017-09-19,,,,,
2017-09-20,,,,,
2017-09-21,,,,,
2017-09-22,,,,,
2017-09-25,,,,,
2017-09-26,,,,,
2017-09-27,,,,,
2017-09-28,,,,,
2017-09-29,,,,,
2017-10-09,,,,,
2017-10-10,,,,,
2017-10-11,,,,,
2017-10-12,,,,,
2017-10-13,,,,,
2017-10-16,,,,,
2017-10-17,,,,,
2017-10-18,,,,,
2017-10-19,,,,,
2017-10-20,,,,,
2017-10-23,,,,,
2017-10-24,,,,,
2017-10-25,,,,,
2017-10-26,,,,,
2017-10-27,,,,,
2017-10-30,,,,,
2017-10-31,,,,,
2017-11-01,,,,,
2017-11-02,,,,,
2017-11-03,,,,,
2017-11-06,,,,,
2017-11-07,,,,,
2017-11-08,,,,,
2017-11-09,,,,,
2017-11-10,,,,,
2017-11-13,,,,,
2017-11-14,,,,,
2017-11-15,,,,,
2017-11-16,,,,,
2017-11-17,,,,,
2017-11-20,,,,,
2017-11-21,,,,,
2017-11-22,,,,,
2017-11-23,,,,,
2017-11-24,,,,,
2017-11-27,,,,,
2017-11-28,,,,,
2017-11-29,,,,,
2017-11-30,,,,,
2017-12-01,,,,,
2017-12-04,,,,,
2017-12-05,,,,,
2017-12-06,,,,,
2017-12-07,,,,,
2017-12-08,,,,,
2017-12-11,,,,,
2017-12-12,,,,,
2017-12-13,,,,,
2017-12-14,,,,,
2017-12-15,,,,,
2017-12-18,,,,,
2017-12-19,,,,,
2017-12-20,,,,,
2017-12-21,,,,,
2017-12-22,,,,,
2017-12-25,,,,,
2017-12-26,,,,,
2017-12-27,,,,,
2017-12-28,,,,,
2017-12-29,,,,,
2018-01-02,,,,,
2018-01-03,,,,,
2018-01-04,,,,,
2018-01-05,,,,,
2018-01-08,,,,,
2018-01-09,,,,,
2018-01-10,,,,,
2018-01-11,,,,,
2018-01-12,,,,,
2018-01-15,,,,,
2018-01-16,,,,,
2018-01-17,,,,,
2018-01-18,,,,,
2018-01-19,,,,,
2018-01-22,,,,,
2018-01-23,,,,,
2018-01-24,,,,,
2018-01-25,,,,,
2018-01-26,,,,,
2018-01-29,,,,,
2018-01-30,,,,,
2018-01-31,,,,,
2018-02-01,,,,,
2018-02-02,,,,,
2018-02-05,,,,,
2018-02-06,,,,,
2018-02-07,,,,,
2018-02-08,,,,,
2018-02-09,,,,,
2018-02-12,,,,,
2018-02-13,,,,,
2018-02-14,,,,,
2018-02-22,,,,,
2018-02-23,,,,,
2018-02-26,,,,,
2018-02-27,,,,,
2018-02-28,,,,,
2018-03-01,,,,,
2018-03-02,,,,,
2018-03-05,,,,,
2018-03-06,,,,,
2018-03-07,,,,,
2018-03-08,,,,,
2018-03-09,,,,,
2018-03-12,,,,,
2018-03-13,,,,,
2018-03-14,,,,,
2018-03-15,,,,,
2018-03-16,,,,,
2018-03-19,,,,,
2018-03-20,,,,,
2018-03-21,,,,,
2018-03-22,,,,,
2018-03-23,,,,,
2018-03-26,,,,,
2018-03-27,,,,,
2018-03-28,,,,,
2018-03-29,,,,,
2018-03-30,,,,,
2018-04-02,,,,,
2018-04-03,,,,,
2018-04-04,,,,,
2018-04-09,,,,,
2018-04-10,,,,,
2018-04-11,,,,,
2018-04-12,,,,,
2018-04-13,,,,,
2018-04-16,,,,,
2018-04-17,,,,,
2018-04-18,,,,,
2018-04-19,,,,,
2018-04-20,,,,,
2018-04-23,,,,,
2018-04-24,,,,,
2018-04-25,,,,,
2018-04-26,,,,,
2018-04-27,,,,,
2018-05-02,,,,,
2018-05-03,,,,,
2018-05-04,,,,,
2018-05-07,,,,,
2018-05-08,,,,,
2018-05-09,,,,,
2018-05-10,,,,,
2018-05-11,,,,,
2018-05-14,,,,,
2018-05-15,,,,,
2018-05-16,,,,,
2018-05-17,,,,,
2018-05-18,,,,,
2018-05-21,,,,,
2018-05-22,,,,,
2018-05-23,,,,,
2018-05-24,,,,,
2018-05-25,,,,,
2018-05-28,,,,,
2018-05-29,,,,,
2018-05-30,,,,,
2018-05-31,,,,,
2018-06-01,,,,,
2018-06-04,,,,,
2018-06-05,,,,,
2018-06-06,,,,,
2018-06-07,,,,,
2018-06-08,,,,,
2018-06-11,,,,,
2018-06-12,,,,,
2018-06-13,,,,,
2018-06-14,,,,,
2018-06-15,,,,,
2018-06-19,,,,,
2018-06-20,,,,,
2018-06-21,,,,,
2018-06-22,,,,,
2018-06-25,,,,,
2018-06-26,,,,,
2018-06-27,,,,,
2018-06-28,,,,,
2018-06-29,,,,,
2018-07-02,,,,,
2018-07-03,,,,,
2018-07-04,,,,,
2018-07-05,,,,,
2018-07-06,,,,,
2018-07-09,,,,,
2018-07-10,,,,,
2018-07-11,,,,,
2018-07-12,,,,,
2018-07-13,,,,,
2018-07-16,,,,,
2018-07-17,,,,,
2018-07-18,,,,,
2018-07-19,,,,,
2018-07-20,,,,,
2018-07-23,,,,,
2018-07-24,,,,,
2018-07-25,,,,,
2018-07-26,,,,,
2018-07-27,,,,,
2018-07-30,,,,,
2018-07-31,,,,,
2018-08-01,,,,,
2018-08-02,,,,,
2018-08-03,,,,,
2018-08-06,,,,,
2018-08-07,,,,,
2018-08-08,,,,,
2018-08-09,,,,,
2018-08-10,,,,,
2018-08-13,,,,,
2018-08-14,,,,,
2018-08-15,,,,,
2018-08-16,,,,,
2018-08-17,,,,,
2018-08-20,,,,,
2018-08-21,,,,,
2018-08-22,,,,,
2018-08-23,,,,,
2018-08-24,,,,,
2018-08-27,,,,,
2018-08-28,,,,,
2018-08-29,,,,,
2018-08-30,,,,,
2018-08-31,,,,,
2018-09-03,,,,,
2018-09-04,,,,,
2018-09-05,,,,,
2018-09-06,,,,,
2018-09-07,,,,,
2018-09-10,,,,,
2018-09-11,,,,,
2018-09-12,,,,,
2018-09-13,,,,,
2018-09-14,,,,,
2018-09-17,,,,,
2018-09-18,,,,,
2018-09-19,,,,,
2018-09-20,,,,,
2018-09-21,,,,,
2018-09-25,,,,,
2018-09-26,,,,,
2018-09-27,,,,,
2018-09-28,,,,,
2018-10-08,,,,,
2018-10-09,,,,,
2018-10-10,,,,,
2018-10-11,,,,,
2018-10-12,,,,,
2018-10-15,,,,,
2018-10-16,1114.96,1118.47,1108.29,1115.21,
2018-10-17,1123.35,1125.15,1113.98,1113.98,
2018-10-18,1111.43,1113.87,1104.14,1105.93,
2018-10-19,1104.06,1105.52,1094.13,1096.19,
2018-10-22,1098.45,1102.09,1088.66,1093.15,
2018-10-23,,,,1093.15,
2018-10-24,1079.9,1085.5,1064.51,1067.15,
2018-10-25,1055.03,1085.99,1048.41,1083.5,
2018-10-26,1078,1079.59,1067.5,1070.25,
2018-10-29,1073.71,1084.31,1072.17,1077.41,
2018-10-30,1078.67,1084.03,1074.89,1078.15,
2018-10-31,1087.42,1102.65,1085.63,1102.49,
2018-11-01,1104.04,1105.41,1093.79,1099.63,
2018-11-02,1104.61,1114.36,1101.74,1109.7,
2018-11-05,1099.96,1103.5,1097.92,1102.09,
2018-11-06,1107.5,1113.19,1101.79,1101.89,
2018-11-07,1105.46,1108.12,1091.91,1108.12,
2018-11-08,1115.88,1118.18,1111.69,1112.57,
2018-11-09,1107.29,1108.91,1099.34,1102.77,
2018-11-12,1106.38,1106.97,1094.46,1094.78,
2018-11-13,1088.27,1104.03,1086.66,1099.57,
2018-11-14,1094.56,1099.7,1088.56,1094.08,
2018-11-15,1097.56,1098.6,1085,1086.32,
2018-11-16,1087.21,1092.8,1082.6,1084.54,
2018-11-19,1084.17,1089.91,1081.45,1087.15,
2018-11-20,1083.81,1084.09,1069.75,1071.83,
2018-11-21,1065.46,1079.5,1062.21,1074.39,
2018-11-22,1073.45,1077.65,1064.38,1065.48,
2018-11-23,1067.38,1079.6,1061.59,1077.93,
2018-11-26,1077.64,1086.33,1073.48,1084.72,
2018-11-27,1083.63,1088.92,1081.36,1086.51,
2018-11-28,1088.35,1094.17,1087.37,1090.57,
2018-11-29,1095.18,1098.9,1086.38,1087.85,
2018-11-30,1091.47,1097.81,1085.36,1091.55,
2018-12-03,1108.31,1120.7,1106.31,1117.86,
2018-12-04,1119.1,1122.34,1114.91,1118.59,
2018-12-05,,,,1118.59,
2018-12-06,1102.95,1107.87,1100.21,1103.85,
2018-12-07,1105.85,1107.91,1098.01,1099.57,
2018-12-10,,,,1099.57,
2018-12-11,1097.24,1098.18,1086.31,1086.83,
2018-12-12,1094.4,1096.38,1087.31,1089.2,
2018-12-13,1092.27,1094.89,1072.54,1074.2,
2018-12-14,1072.81,1078.9,1065.89,1071.65,
2018-12-17,1074.95,1077.35,1062.04,1068.52,
2018-12-18,1063.25,1064.58,1053.34,1055.76,
2018-12-19,1055.13,1069.24,1050.87,1068.47,
2018-12-20,1063.33,1067.24,1056.07,1066.22,
2018-12-21,1061,1072.02,1058.47,1067.01,
2018-12-24,1061.48,1071.49,1060.55,1064.26,
2018-12-25,1052.17,1052.51,1038.19,1040.06,
2018-12-26,1040.17,1044.26,1034.62,1040.71,
2018-12-27,1061.32,1063.67,1031.45,1033.81,
2018-12-28,1035.67,1045.73,1034.58,1044.92,851000674
2019-01-02,1048.13,1054,1044.96,1046.71,
2019-01-03,1051.31,1055.91,1038.39,1041.49,
2019-01-04,1041.26,1055.23,1034.66,1054.29,
2019-01-07,1061.63,1071.14,1059.24,1066.99,
2019-01-08,1067.45,1070.39,1062.44,1067.2,
2019-01-09,1075.28,1079.45,1061.87,1064.82,
2019-01-10,1064.02,1071.57,1055.49,1063.19,
2019-01-11,1065.76,1069.69,1061.51,1069.42,
2019-01-14,1065.25,1066.63,1055.72,1058.27,
2019-01-15,1061.84,1064.69,1051.25,1054.01,
2019-01-16,1057.36,1060.81,1046.53,1055.89,
2019-01-17,1056.48,1062.89,1055.21,1057.92,
2019-01-18,1061.31,1063.91,1055.68,1060.95,
2019-01-21,1062.75,1069.92,1061.78,1064.57,
2019-01-22,1063.51,1073.73,1061.95,1073.73,
2019-01-23,1073.14,1086.22,1071.94,1082.61,
2019-01-24,1083.45,1090.12,1079.47,1083.97,
2019-01-25,1087.29,1090.33,1080.71,1086.11,
2019-01-28,1088.97,1093.38,1083.69,1086.46,
2019-01-29,1084.56,1086.61,1079.53,1086.3,
2019-01-30,1088.06,1091.52,1083.07,1091.05,
2019-01-31,1096.8,1102.66,1095.96,1096.5,
2019-02-01,1098.26,1106.06,1095.78,1102.22,
2019-02-11,1095.63,1098.66,1088.21,1091.82,
2019-02-12,1091.11,1096.89,1089.33,1093.16,
2019-02-13,1098.67,1104.44,1095.46,1103.01,
2019-02-14,1104.54,1105.64,1098.24,1100.41,
2019-02-15,1098.7,1099.89,1086.88,1089.39,
2019-02-18,1095.2,1097.16,1088.34,1088.97,
2019-02-19,,,,1088.97,
2019-02-20,1091.06,1097.31,1087.61,1095.88,
2019-02-21,1096.44,1100.63,1092.5,1096.79,
2019-02-22,1094.71,1108.23,1094.28,1105.88,
2019-02-25,1110.52,1117.58,1110.2,1114.72,
2019-02-26,1109.6,1114.26,1106.71,1108.46,
2019-02-27,1108.48,1112.52,1105.61,1109.88,
2019-02-28,1110.42,1110.87,1099.21,1099.3,
2019-03-01,1100.9,1102.15,1090.77,1091.76,
2019-03-04,1091.54,1094.28,1085.21,1087.22,
2019-03-05,1086.09,1092.1,1082.7,1089.38,
2019-03-06,1086.95,1089.21,1076.99,1078.65,
2019-03-07,1078.38,1087.6,1077.19,1084.58,
2019-03-08,1083.28,1087.94,1078.39,1082.08,
2019-03-11,1084.82,1087.29,1077.99,1079.36,
2019-03-12,1082.75,1084.82,1077.43,1079.46,
2019-03-13,1078.2,1089.1,1075.67,1089.1,
2019-03-14,1091.11,1092.14,1085.83,1087.12,
2019-03-15,1087.68,1089.48,1079.72,1080.01,
2019-03-18,1082.45,1083.96,1070.63,1074.63,
2019-03-19,1074.91,1086.93,1074.15,1084.3,
2019-03-20,1085.18,1088.68,1081.3,1081.97,
2019-03-21,1085.73,1092.41,1085.3,1087.41,
2019-03-22,1089.77,1099.31,1087.54,1098.85,
2019-03-25,1087.35,1091.73,1076.7,1083.05,
2019-03-26,1083.4,1090.34,1080.5,1088.47,
2019-03-27,1087.86,1089.86,1080.41,1085.46,
2019-03-28,1082.11,1091.44,1081.27,1088.36,
2019-03-29,1092.5,1095.49,1087.75,1090.94,
2019-04-01,1095.81,1100.65,1094.29,1095.08,1022332113
2019-04-02,1099.87,1103.24,1096.85,1100.22,822296710
2019-04-03,1101.29,1102.19,1095.17,1098.51,1057982646
2019-04-04,1098.39,1099.27,1090.64,1094.76,784549171
2019-04-08,,,,1096.13,
2019-04-09,1099.88,1107.62,1097.82,1105.37,
2019-04-10,1106.61,1111.38,1105.4,1108.81,
2019-04-11,1107.78,1108.78,1103.44,1105.48,
2019-04-12,1104.12,1107.26,1100.85,1105.42,
2019-04-15,,,,1105.42,
2019-04-16,,,,1105.42,
2019-04-17,1108.99,1116.23,1107.05,1112.52,
2019-04-18,1113.6,1116.32,1108.1,1114.04,
2019-04-19,1113.56,1117.38,1110.82,1113.14,
2019-04-22,1115.9,1121.14,1113.03,1113.03,
2019-04-23,1113.99,1117.15,1110.61,1111.33,
2019-04-24,1114.28,1116.5,1109.29,1113.76,
2019-04-25,1113.17,1116.96,1110.86,1112.93,
2019-04-26,1112.74,1113.63,1104.35,1107.88,
2019-04-29,1106.03,1108.96,1103.42,1106.62,
2019-04-30,1107.22,1114.83,1106.88,1112.39,
2019-05-06,,,,1116.18,
2019-05-07,1109.09,1113.37,1105.92,1108.83,
2019-05-08,1103.34,1104.89,1096.63,1098.65,
2019-05-09,1098.06,1103.02,1092.17,1092.97,
2019-05-10,1099.23,1100.9,1088.38,1095.38,
2019-05-13,1095.02,1097.7,1085.68,1090.33,
2019-05-14,1084.42,1090.67,1083.06,1086.59,
2019-05-15,1088.71,1091.29,1078.6,1078.6,
2019-05-16,1080.09,1082.52,1067.37,1073.25,
2019-05-17,1076.63,1079.39,1067.11,1068.45,
2019-05-20,,,,1068.45,
2019-05-21,1069.54,1076.75,1065.17,1071.6,
2019-05-22,1076.35,1084.22,1076.22,1083.04,
2019-05-23,1079.21,1082.57,1069.03,1070.49,
2019-05-24,1065.77,1075.63,1061.58,1072.13,
2019-05-27,1075.76,1082.64,1070.97,1078.98,
2019-05-28,1081.99,1085.97,1074.68,1084.58,4181383188
2019-05-29,1084.46,1085.27,1073.94,1074.89,983882812
2019-05-30,1074.92,1082.52,1074.34,1076.85,755453193
2019-05-31,1075.79,1081.32,1068.07,1074.87,
2019-06-03,,,,1074.87,
2019-06-04,1078.64,1090.7,1076.83,1088.03,1346358982
2019-06-05,1095.81,1098.76,1091.34,1095.47,1268491896
2019-06-06,1095.07,1099.2,1090.42,1097.14,
2019-06-10,1101.87,1105.7,1101,1103.29,930142487
2019-06-11,1104.75,1112.21,1101.76,1108.53,1191903014
2019-06-12,1107.08,1109.4,1103.78,1108.2,
2019-06-13,1106.55,1111.42,1101.08,1109.23,1324604686
2019-06-14,1108.14,1110.51,1103.08,1107.36,1316073413
2019-06-17,1108.37,1112.02,1103.2,1103.64,1360113453
2019-06-18,1103.1,1117.74,1101.7,1117.49,1397822887
2019-06-19,1125.76,1140.2,1123.18,1135.23,2275740247
2019-06-20,1139.15,1148.56,1135.93,1144.64,1829980226
2019-06-21,1147.97,1152.44,1140.21,1142.46,2108582675
2019-06-24,1146.84,1148.18,1139.73,1141.98,1137159213
2019-06-25,1141.48,1149.38,1135.08,1145.73,1559789785
2019-06-26,1141.8,1146.91,1139.77,1145.17,1241968668
2019-06-27,1148.9,1155.69,1147.71,1152.36,1171924504
2019-06-28,1152.1,1155.09,1149.82,1150.85,1306139847
2019-07-01,1162.32,1164.72,1158.28,1159.79,1373189079
2019-07-02,1157.02,1160.16,1150.52,1152.63,1207161797
2019-07-03,1153.27,1158.18,1149.73,1154.77,1234003693
2019-07-04,1156.88,1161.21,1137.41,1144.08,
2019-07-05,1144.47,1149.17,1140.05,1148.28,1127656587
2019-07-08,1144.61,1148.53,1140.27,1145.56,1081531055
2019-07-09,1142.44,1146.49,1136.56,1136.68,1380611751
2019-07-10,1140.75,1153.02,1138.06,1151.09,1735564893
2019-07-11,1155.86,1157.57,1148.28,1150.2,
2019-07-12,1153.51,1154.76,1140.54,1143.08,1799502994
2019-07-15,1144.34,1149.35,1140.69,1142.6,1189247870
2019-07-16,,,,1142.6,
2019-07-17,1140.72,1144.84,1137.97,1138.76,1255593422
2019-07-18,1135.95,1142.74,1135.51,1140.37,1032116691
2019-07-19,1149.21,1150.79,1145.27,1147.9,1299707523
2019-07-22,1145.21,1147.59,1137.71,1140.67,1473903757
2019-07-23,1143.01,1144.44,1135.51,1139.56,1461644962
2019-07-24,1141.43,1143.3,1134.6,1138.31,924519296
2019-07-25,1139.65,1143.38,1137.59,1141.45,1062859400
2019-07-26,1139.82,1140.47,1129.02,1131.41,1057226910
2019-07-29,,,,1131.41,
2019-07-30,1132.37,1135.14,1124.38,1126.43,1048821428
2019-07-31,1124.85,1134.54,1123.89,1130.92,929822370
2019-08-01,1126.28,1128.7,1120.73,1124.54,948474377
2019-08-02,1110.65,1115.31,1103.58,1113.17,1658864215
2019-08-05,1105.37,1111.18,1097.85,1098.46,1005705492
2019-08-06,1089.84,1105.45,1086.45,1102.31,1586987218
2019-08-07,1103.29,1110.41,1098.14,1100.8,1892216007
2019-08-08,1101.4,1103.29,1092.76,1096.27,1184469482
2019-08-09,1101.82,1104.56,1086.32,1087.14,1323906162
2019-08-12,,,,1087.14,
2019-08-13,1081.21,1082.92,1064.44,1065.58,1534068771
2019-08-14,1076.52,1081.74,1059.91,1065.92,1509520880
2019-08-15,1055.51,1065.21,1046.62,1056.32,1991087808
2019-08-16,1059.72,1077.62,1056.89,1075.84,1389582470
2019-08-19,1081.66,1084.91,1076.71,1079.75,1384227288
2019-08-20,1083.71,1084.26,1067.35,1070.23,1222813919
2019-08-21,1072.95,1084.69,1068.52,1080.46,1047472272
2019-08-22,1071.78,1080.68,1070.94,1077.88,1444422771
2019-08-23,1081.42,1088.9,1079.87,1088.69,1189528847
2019-08-26,1069.03,1073.1,1060.5,1071.74,1512541151
2019-08-27,,,,1071.74,
2019-08-28,1069.03,1073.1,1060.5,1071.74,1512541151
2019-08-29,,,,1071.74,
2019-08-30,1089.45,1096.47,1085.56,1096.47,1374571780
2019-09-02,1092.95,1099.18,1088.88,1095.04,1148422382
2019-09-03,1097.42,1099.63,1085.8,1085.8,1143210306
2019-09-04,1092.64,1104.83,1089.86,1099.93,1325498627
2019-09-05,1109.5,1112,1103.7,1108.91,1275781172
2019-09-06,1114.82,1116.11,1106.88,1109.2,1015233139
2019-09-09,1111.17,1114.24,1106.01,1110.57,1210931120
2019-09-10,1114.05,1115.85,1104.27,1107.41,1326151879
2019-09-11,1110.44,1115.91,1104.78,1115.39,1814914902
2019-09-12,1118.36,1118.99,1102.25,1103.91,1597735653
2019-09-16,1107.85,1109.68,1101.18,1106.03,1189186731
2019-09-17,1104.87,1113.26,1103.19,1107.82,1560635916
2019-09-18,1107.3,1108.43,1097.22,1100.54,1324487413
2019-09-19,1102.35,1106.01,1087.93,1090.34,1515594123
2019-09-20,1090.31,1093.41,1080.92,1089.04,1652836698
2019-09-23,1088.04,1088.74,1077.05,1078.65,1096266952
2019-09-24,1079.08,1087.73,1078.29,1084.56,1580537108
2019-09-25,1079.4,1084.22,1077.05,1081.53,1321201382
2019-09-26,1086.04,1089.88,1083.09,1088.5,1288092055
2019-09-27,1088.01,1099.45,1083.3,1094.73,1085028178
2019-09-30,1093.95,1096,1086.86,1090.31,890308701
2019-10-08,1079.41,1081.86,1070.1,1071.95,793405618
2019-10-09,1071.29,1078.1,1066.68,1076.56,862981614
2019-10-10,1073.96,1075.22,1067.46,1067.54,877089350
2019-10-11,1073.15,1085.12,1072.81,1083.77,1181752584
2019-10-14,,,,1083.77,
2019-10-15,1087.31,1089.67,1080.62,1085.38,957942885
2019-10-16,1087.84,1093.41,1086.72,1091.29,1590151252
